;condicao;dataNascimento;email;ideCadastro;nome;nomeParlamentar;partido;sexo;uf
181;Titular;13/03/1971;dep.sergiosouza@camara.leg.br;178933;SERGIO DE SOUZA;Sergio Souza ;MDB;masculino;PR
182;Titular;31/08/1950;dep.toninhowandscheer@camara.leg.br;178934;ANTONIO WANDSCHEER;Toninho Wandscheer ;PROS;masculino;PR
183;Titular;02/07/1982;dep.clarissagarotinho@camara.leg.br;178939;CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA;Clarissa Garotinho ;PROS;feminino;RJ
184;Titular;27/12/1966;dep.rosangelagomes@camara.leg.br;178945;ROSANGELA DE SOUZA GOMES;Rosangela Gomes ;REPUBLICANOS;feminino;RJ
185;Titular;04/12/1958;dep.sorayasantos@camara.leg.br;178946;SORAYA ALENCAR DOS SANTOS;Soraya Santos ;PL;feminino;RJ
186;Titular;16/01/1975;dep.sostenescavalcante@camara.leg.br;178947;SOSTENES SILVA CAVALCANTE;Sóstenes Cavalcante ;DEM;masculino;RJ
187;Titular;15/08/1986;dep.rafaelmotta@camara.leg.br;178951;RAFAEL HUETE DA MOTTA;Rafael Motta ;PSB;masculino;RN
188;Titular;27/02/1980;dep.walteralves@camara.leg.br;178952;WALTER PEREIRA ALVES;Walter Alves ;MDB;masculino;RN
189;Titular;05/10/1988;dep.expeditonetto@camara.leg.br;178953;EXPEDITO GONCALVES FERREIRA NETTO;Expedito Netto ;PSD;masculino;RO
190;Titular;23/07/1969;dep.luciomosquini@camara.leg.br;178954;LUCIO ANTONIO MOSQUINI;Lucio Mosquini ;MDB;masculino;RO
191;Titular;26/11/1986;dep.marianacarvalho@camara.leg.br;178956;MARIANA FONSECA RIBEIRO CARVALHO DE MORAES;Mariana Carvalho ;PSDB;feminino;RO
192;Titular;19/06/1957;dep.hirangoncalves@camara.leg.br;178959;HIRAN MANUEL GONCALVES DA SILVA;Hiran Gonçalves ;PP;masculino;RR
193;Titular;11/04/1984;dep.sheridan@camara.leg.br;178961;SHÉRIDAN ESTÉRFANY OLIVEIRA;Shéridan ;PSDB;feminino;RR
194;Titular;13/06/1972;dep.carlosgomes@camara.leg.br;178962;ANTONIO CARLOS GOMES DA SILVA;Carlos Gomes ;REPUBLICANOS;masculino;RS
195;Titular;25/03/1962;dep.heitorschuch@camara.leg.br;178964;HEITOR JOSE SCHUCH;Heitor Schuch ;PSB;masculino;RS
196;Titular;30/03/1972;dep.geovaniadesa@camara.leg.br;178966;Geovânia de Sá;Geovania de Sá ;PSDB;feminino;SC
197;Titular;24/02/1977;dep.fabiomitidieri@camara.leg.br;178969;FABIO CRUZ MITIDIERI;Fábio Mitidieri ;PSD;masculino;SE
198;Titular;22/08/1967;dep.joaodaniel@camara.leg.br;178970;JOAO SOMARIVA DANIEL;João Daniel ;PT;masculino;SE
199;Titular;22/08/1979;dep.alexmanente@camara.leg.br;178972;ALEX SPINELLI MANENTE;Alex Manente ;CIDADANIA;masculino;SP
200;Titular;09/06/1972;dep.baleiarossi@camara.leg.br;178975;LUIZ FELIPE BALEIA TENUTO ROSSI;Baleia Rossi ;MDB;masculino;SP
201;Titular;10/07/1984;dep.eduardobolsonaro@camara.leg.br;92346;EDUARDO NANTES BOLSONARO;Eduardo Bolsonaro ;PSL;masculino;SP
202;Titular;19/09/1963;dep.eduardocury@camara.leg.br;178977;EDUARDO PEDROSA CURY;Eduardo Cury ;PSDB;masculino;SP
203;Titular;01/06/1977;dep.faustopinato@camara.leg.br;66828;FAUSTO RUY PINATO;Fausto Pinato ;PP;masculino;SP
204;Titular;04/08/1956;dep.herculanopassos@camara.leg.br;178981;HERCULANO CASTILHO PASSOS JUNIOR;Herculano Passos ;MDB;masculino;SP
205;Titular;14/06/1969;dep.marcioalvino@camara.leg.br;178983;MARCIO LUIZ ALVINO DE SOUZA;Marcio Alvino ;PL;masculino;SP
206;Titular;29/01/1964;dep.miguellombardi@camara.leg.br;178985;MIGUEL LOMBARDI;Miguel Lombardi ;PL;masculino;SP
207;Titular;31/07/1963;dep.niltotatto@camara.leg.br;178986;NILTO IGNACIO TATTO;Nilto Tatto ;PT;masculino;SP
208;Titular;27/05/1971;dep.orlandosilva@camara.leg.br;178987;ORLANDO SILVA DE JESUS JUNIOR;Orlando Silva ;PCdoB;masculino;SP
209;Titular;09/02/1963;dep.samuelmoreira@camara.leg.br;178990;SAMUEL MOREIRA DA SILVA JUNIOR;Samuel Moreira ;PSDB;masculino;SP
210;Titular;18/05/1959;dep.vitorlippi@camara.leg.br;178992;VITOR LIPPI;Vitor Lippi ;PSDB;masculino;SP
211;Titular;21/04/1961;dep.carloshenriquegaguim@camara.leg.br;178993;CARLOS HENRIQUE AMORIM;Carlos Henrique Gaguim ;DEM;masculino;TO
212;Titular;15/12/1963;dep.dulcemiranda@camara.leg.br;178994;DULCE FERREIRA PAGANI MIRANDA;Dulce Miranda ;MDB;feminino;TO
213;Titular;11/04/1985;dep.vicentinhojunior@camara.leg.br;137070;VICENTE ALVES DE OLIVEIRA JUNIOR;Vicentinho Júnior ;PL;masculino;TO
214;Titular;10/04/1957;dep.giovanifeltes@camara.leg.br;178996;GIOVANI BATISTA FELTES;Giovani Feltes ;MDB;masculino;RS
215;Titular;06/06/1978;dep.mosesrodrigues@camara.leg.br;178997;MOSES HAENDEL MELO RODRIGUES;Moses Rodrigues ;MDB;masculino;CE
216;Titular;12/06/1987;dep.marceloaro@camara.leg.br;146788;MARCELO GUILHERME DE ARO FERREIRA;Marcelo Aro ;PP;masculino;MG
217;Titular;23/05/1979;dep.marciobiolchi@camara.leg.br;179001;MARCIO DELLA VALLE BIOLCHI;Márcio Biolchi ;MDB;masculino;RS
218;Titular;17/09/1953;dep.dra.vandamilani@camara.leg.br;204434;VANDA DENIR MILANI NOGUEIRA;Dra. Vanda Milani ;SOLIDARIEDADE;feminino;AC
219;Titular;07/01/1988;dep.nivaldoalbuquerque@camara.leg.br;194260;NIVALDO FERREIRA DE ALBUQUERQUE NETO;Nivaldo Albuquerque ;PTB;masculino;AL
220;Titular;02/04/1975;dep.vaidonoliveira@camara.leg.br;195866;FRANCISCO VAIDON OLIVEIRA;Vaidon Oliveira ;PROS;masculino;CE
221;Titular;03/05/1961;dep.dr.jaziel@camara.leg.br;204481;JAZIEL PEREIRA DE SOUSA;Dr. Jaziel ;PL;masculino;CE
222;Titular;07/09/1959;dep.normaayub@camara.leg.br;66179;NORMA AYUB ALVES;Norma Ayub ;DEM;feminino;ES
223;Titular;08/02/1961;dep.josemarioschreiner@camara.leg.br;204386;JOSE MARIO SCHREINER;Jose Mario Schreiner ;DEM;masculino;GO
224;Titular;25/09/1949;dep.dr.luizovando@camara.leg.br;204351;LUIZ ALBERTO OVANDO;Dr. Luiz Ovando ;PSL;masculino;MS
225;Titular;15/08/1984;dep.euclydespettersen@camara.leg.br;204482;EUCLYDES MARCOS PETTERSEN NETO;Euclydes Pettersen ;PSC;masculino;MG
226;Titular;01/05/1957;dep.vilsondafetaemg@camara.leg.br;204483;VILSON LUIZ DA SILVA;Vilson da Fetaemg ;PSB;masculino;MG
227;Titular;20/04/1981;dep.pauloeduardomartins@camara.leg.br;193726;PAULO EDUARDO LIMA MARTINS;Paulo Eduardo Martins ;PSC;masculino;PR
228;Titular;06/11/1963;dep.sargentofahur@camara.leg.br;204387;GILSON CARDOSO FAHUR;Sargento Fahur ;PSD;masculino;PR
229;Titular;17/09/1976;dep.fernandomonteiro@camara.leg.br;92699;FERNANDO MONTEIRO DE ALBUQUERQUE;Fernando Monteiro ;PP;masculino;PE
230;Titular;27/02/1953;dep.flavionogueira@camara.leg.br;191923;FLÁVIO RODRIGUES NOGUEIRA;Flávio Nogueira ;PDT;masculino;PI
231;Titular;22/07/1955;dep.lourivalgomes@camara.leg.br;196358;LOURIVAL GOMES DE ALMEIDA;Lourival Gomes ;PSL;masculino;RJ
232;Titular;09/01/1957;dep.bibonunes@camara.leg.br;204388;ALCIBIO MESQUITA BIBO NUNES;Bibo Nunes ;PSL;masculino;RS
233;Titular;06/08/1954;dep.generalpeternelli@camara.leg.br;204484;ROBERTO SEBASTIÃO PETERNELLI JUNIOR;General Peternelli ;PSL;masculino;SP
234;Titular;24/04/1959;dep.luizcarlosmotta@camara.leg.br;204485;LUIZ CARLOS MOTTA;Luiz Carlos Motta ;PL;masculino;SP
235;Titular;10/06/1973;dep.jesussergio@camara.leg.br;204435;JESUS SERGIO DE MENEZES;Jesus Sérgio ;PDT;masculino;AC
236;Titular;30/10/1976;dep.isnaldobulhoesjr@camara.leg.br;204436;ISNALDO BULHOES BARROS JUNIOR;Isnaldo Bulhões Jr. ;MDB;masculino;AL
237;Titular;06/02/1970;dep.severinopessoa@camara.leg.br;204437;SEVERINO DE LIRA PESSÔA;Severino Pessoa ;REPUBLICANOS;masculino;AL
238;Titular;29/01/1962;dep.sergiotoledo@camara.leg.br;204438;SERGIO TOLEDO DE ALBUQUERQUE;Sergio Toledo ;PL;masculino;AL
239;Titular;23/05/1972;dep.camilocapiberibe@camara.leg.br;204352;CARLOS CAMILO GÓES CAPIBERIBE;Camilo Capiberibe ;PSB;masculino;AP
240;Titular;25/11/1980;dep.alinegurgel@camara.leg.br;204353;ALINE PARANHOS VARONIL GURGEL;Aline Gurgel ;REPUBLICANOS;feminino;AP
241;Titular;09/03/1959;dep.maurobenevidesfilho@camara.leg.br;204486;CARLOS MAURO BENEVIDES FILHO;Mauro Benevides Filho ;PDT;masculino;CE
242;Titular;21/01/1979;dep.capitaowagner@camara.leg.br;204487;WAGNER SOUSA GOMES;Capitão Wagner ;PROS;masculino;CE
243;Titular;19/06/1987;dep.celiostudart@camara.leg.br;204488;CELIO STUDART BARBOSA;Célio Studart ;PV;masculino;CE
244;Titular;15/02/1970;dep.roberiomonteiro@camara.leg.br;204489;MARCOS ROBERIO RIBEIRO MONTEIRO;Robério Monteiro ;PDT;masculino;CE
245;Titular;21/01/1980;dep.flaviaarruda@camara.leg.br;204354;FLÁVIA CAROLINA PÉRES;Flávia Arruda ;PL;feminino;DF
246;Titular;02/06/1971;dep.davitoria@camara.leg.br;204355;JOSIAS MARIO DA VITORIA;Da Vitoria ;CIDADANIA;masculino;ES
247;Titular;04/12/1976;dep.amaroneto@camara.leg.br;204356;AMARO ROCHA NASCIMENTO NETO;Amaro Neto ;REPUBLICANOS;masculino;ES
248;Titular;04/07/1966;dep.eliasvaz@camara.leg.br;204389;ELIAS VAZ DE ANDRADE;Elias Vaz ;PSB;masculino;GO
249;Titular;25/10/1953;dep.professoralcides@camara.leg.br;204390;ALCIDES RIBEIRO FILHO;Professor Alcides ;PP;masculino;GO
250;Titular;19/09/1960;dep.josenelto@camara.leg.br;204391;JOSÉ NELTO LAGARES DAS MERCEZ;José Nelto ;PODE;masculino;GO
251;Titular;15/03/1969;dep.franciscojr@camara.leg.br;204392;FRANCISCO RODRIGUES VALE JUNIOR;Francisco Jr. ;PSD;masculino;GO
252;Titular;27/12/1984;dep.charllesevangelista@camara.leg.br;204490;CHARLLES THOMACELLI EVANGELISTA;Charlles Evangelista ;PSL;masculino;MG
253;Titular;06/08/1966;dep.gilbertoabramo@camara.leg.br;204491;GILBERTO APARECIDO ABRAMO;Gilberto Abramo ;REPUBLICANOS;masculino;MG
254;Titular;01/10/1970;dep.pauloguedes@camara.leg.br;204492;PAULO JOSE CARLOS GUEDES;Paulo Guedes ;PT;masculino;MG
255;Titular;15/12/1981;dep.greyceelias@camara.leg.br;198197;GREYCE DE QUEIROZ ELIAS;Greyce Elias ;AVANTE;feminino;MG
256;Titular;17/10/1966;dep.lafayettedeandrada@camara.leg.br;98057;LAFAYETTE LUIZ DOORGAL DE ANDRADA;Lafayette de Andrada ;REPUBLICANOS;masculino;MG
257;Titular;10/03/1967;dep.emidinhomadeira@camara.leg.br;161550;EMIDIO ALVES MADEIRA JUNIOR;Emidinho Madeira ;PSB;masculino;MG
258;Titular;12/07/1977;dep.fredcosta@camara.leg.br;204494;FREDERICO BORGES DA COSTA;Fred Costa ;PATRIOTA;masculino;MG
259;Titular;20/02/1978;dep.rosemodesto@camara.leg.br;204357;ROSIANE MODESTO  DE OLIVEIRA;Rose Modesto ;PSDB;feminino;MS
260;Titular;14/11/1977;dep.betopereira@camara.leg.br;204358;HUMBERTO REZENDE PEREIRA;Beto Pereira ;PSDB;masculino;MS
261;Titular;14/06/1978;dep.dr.leonardo@camara.leg.br;204439;LEONARDO RIBEIRO ALBUQUERQUE;Dr. Leonardo ;SOLIDARIEDADE;masculino;MT
262;Titular;16/03/1959;dep.airtonfaleiro@camara.leg.br;204495;AIRTON LUIZ FALEIRO;Airton Faleiro ;PT;masculino;PA
263;Titular;29/08/1978;dep.celsosabino@camara.leg.br;204496;CELSO SABINO DE OLIVEIRA;Celso Sabino ;PSDB;masculino;PA
264;Titular;13/07/1967;dep.juniorferrari@camara.leg.br;204497;JOÃO FERRARI JÚNIOR;Júnior Ferrari ;PSD;masculino;PA
265;Titular;09/01/1982;dep.olivalmarques@camara.leg.br;204498;OLIVAL HENRIQUE MARQUES DE SOUZA;Olival Marques ;DEM;masculino;PA
266;Titular;12/09/1981;dep.cassioandrade@camara.leg.br;204499;CASSIO COELHO ANDRADE;Cássio Andrade ;PSB;masculino;PA
267;Titular;16/02/1968;dep.eduardocosta@camara.leg.br;204500;JOSE EDUARDO PEREIRA DA COSTA;Eduardo Costa ;PTB;masculino;PA
268;Titular;03/03/1944;dep.freianastacioribeiro@camara.leg.br;204393;ANTONIO RIBEIRO;Frei Anastacio Ribeiro ;PT;masculino;PB
269;Titular;14/04/1975;dep.gervasiomaia@camara.leg.br;204394;GERVÁSIO AGRIPINO MAIA;Gervásio Maia ;PSB;masculino;PB
270;Titular;10/12/1972;dep.andreferreira@camara.leg.br;204423;ANDRÉ FERREIRA RODRIGUES;André Ferreira ;PSC;masculino;PE
271;Titular;12/11/1987;dep.tuliogadelha@camara.leg.br;157130;TÚLIO GADÊLHA SALES DE MELO;Túlio Gadêlha ;PDT;masculino;PE
272;Titular;05/03/1982;dep.silviocostafilho@camara.leg.br;204425;SILVIO SERAFIM COSTA FILHO;Silvio Costa Filho ;REPUBLICANOS;masculino;PE
273;Titular;12/03/1961;dep.margaretecoelho@camara.leg.br;204430;MARGARETE DE CASTRO COELHO;Margarete Coelho ;PP;feminino;PI
274;Titular;19/09/1991;dep.marcosaureliosampaio@camara.leg.br;204431;MARCOS AURÉLIO  PÁDUA RIBEIRO GONÇALVES DE SAMPAIO;Marcos Aurélio Sampaio ;MDB;masculino;PI
275;Titular;04/06/1983;dep.pedrolupion@camara.leg.br;204395;PEDRO DEBONI LUPION MELLO;Pedro Lupion ;DEM;masculino;PR
276;Titular;01/03/1959;dep.vermelho@camara.leg.br;204396;NELSI COGUETTO MARIA;Vermelho ;PSD;masculino;PR
277;Titular;07/08/1971;dep.bocaaberta@camara.leg.br;204397;EMERSON MIGUEL PETRIV;Boca Aberta ;PROS;masculino;PR
278;Titular;02/10/1991;dep.felipefrancischini@camara.leg.br;204398;LUIS FELIPE BONATTO FRANCISCHINI;Felipe Francischini ;PSL;masculino;PR
279;Titular;12/09/1954;dep.schiavinato@camara.leg.br;204399;JOSE CARLOS SCHIAVINATO;Schiavinato ;PP;masculino;PR
280;Titular;26/07/1979;dep.alinesleutjes@camara.leg.br;204400;ALINE SLEUTJES;Aline Sleutjes ;PSL;feminino;PR
281;Titular;06/09/1965;dep.gleisihoffmann@camara.leg.br;107283;GLEISI HELENA HOFFMANN;Gleisi Hoffmann ;PT;feminino;PR
282;Titular;26/04/1962;dep.christinoaureo@camara.leg.br;204440;CHRISTINO AUREO DA SILVA;Christino Aureo ;PP;masculino;RJ
283;Titular;12/04/1967;dep.marcelofreixo@camara.leg.br;76874;MARCELO RIBEIRO FREIXO;Marcelo Freixo ;PSOL;masculino;RJ
284;Titular;22/11/1976;dep.otonidepaula@camara.leg.br;204441;OTONI MOURA DE PAULO JUNIOR;Otoni de Paula ;PSC;masculino;RJ
285;Titular;02/12/1980;dep.gurgel@camara.leg.br;204442;JOÃO CARLOS SOARES GURGEL;Gurgel ;PSL;masculino;RJ
286;Titular;28/03/1969;dep.heliolopes@camara.leg.br;204444;HELIO FERNANDO BARBOSA LOPES;Helio Lopes ;PSL;masculino;RJ
287;Titular;03/12/1974;dep.jaquelinecassol@camara.leg.br;108338;DIRLAINE JAQUELINE CASSOL;Jaqueline Cassol ;PP;feminino;RO
288;Titular;11/01/1984;dep.leomoraes@camara.leg.br;204359;LEONARDO BARRETO DE MORAES;Léo Moraes ;PODE;masculino;RO
289;Titular;15/01/1974;dep.silviacristina@camara.leg.br;204360;SILVIA CRISTINA AMANCIO CHAGAS;Silvia Cristina ;PDT;feminino;RO
290;Titular;07/08/1979;dep.marcelomoraes@camara.leg.br;133810;MARCELO PIRES MORAES;Marcelo Moraes ;PTB;masculino;RS
291;Titular;25/09/1975;dep.marlonsantos@camara.leg.br;204403;MARLON ARATOR SANTOS DA ROSA;Marlon Santos ;PDT;masculino;RS
292;Titular;26/05/1981;dep.lucasredecker@camara.leg.br;204404;LUCAS BELLO REDECKER;Lucas Redecker ;PSDB;masculino;RS
293;Titular;24/01/1981;dep.lizianebayer@camara.leg.br;204405;LIZIANE BAYER DA COSTA;Liziane Bayer ;PSB;feminino;RS
294;Titular;19/12/1950;dep.pedrowestphalen@camara.leg.br;204406;PEDRO BANDARRA WESTPHALEN;Pedro Westphalen ;PP;masculino;RS
295;Titular;08/11/1985;dep.marcelvanhattem@camara.leg.br;156190;MARCEL VAN HATTEM;Marcel van Hattem;NOVO;masculino;RS
296;Titular;02/02/1984;dep.fernandamelchionna@camara.leg.br;204407;FERNANDA MELCHIONNA E SILVA;Fernanda Melchionna ;PSOL;feminino;RS
297;Titular;08/03/1982;dep.carloschiodini@camara.leg.br;204361;CARLOS ALBERTO CHIODINI;Carlos Chiodini ;MDB;masculino;SC
298;Titular;28/09/1977;dep.ricardoguidi@camara.leg.br;204362;RICARDO ZANATTA GUIDI;Ricardo Guidi ;PSD;masculino;SC
299;Titular;08/11/1961;dep.darcidematos@camara.leg.br;116379;DARCI DE MATOS;Darci de Matos ;PSD;masculino;SC
300;Titular;16/02/1982;dep.gustinhoribeiro@camara.leg.br;204408;LUIZ AUGUSTO CARVALHO RIBEIRO FILHO;Gustinho Ribeiro ;SOLIDARIEDADE;masculino;SE
301;Titular;14/03/1976;dep.alencarsantanabraga@camara.leg.br;204501;ALENCAR SANTANA BRAGA;Alencar Santana Braga ;PT;masculino;SP
302;Titular;17/08/1980;dep.juniorbozzella@camara.leg.br;204502;NICOLINO BOZZELLA JUNIOR;Júnior Bozzella ;PSL;masculino;SP
303;Titular;14/09/1971;dep.alexandrepadilha@camara.leg.br;204503;ALEXANDRE ROCHA SANTOS PADILHA;Alexandre Padilha ;PT;masculino;SP
304;Titular;12/12/1973;dep.cezinhademadureira@camara.leg.br;204504;ANTONIO CEZAR CORREIA FREIRE;Cezinha de Madureira ;PSD;masculino;SP
305;Titular;16/04/1963;dep.osiresdamaso@camara.leg.br;204363;OSIRES RODRIGUES DAMASO;Osires Damaso ;PSC;masculino;TO
306;Titular;01/09/1960;dep.eliborges@camara.leg.br;204364;ELI DIAS BORGES;Eli Borges ;SOLIDARIEDADE;masculino;TO
307;Titular;04/08/1988;dep.tiagodimas@camara.leg.br;143084;TIAGO BRAGA PEREIRA;Tiago Dimas ;SOLIDARIEDADE;masculino;TO
308;Titular;03/06/1982;dep.vavamartins@camara.leg.br;204505;WAGNER BACH MARTINS;Vavá Martins ;REPUBLICANOS;masculino;PA
309;Titular;22/04/1966;dep.professorjoziel@camara.leg.br;204446;JOZIEL FERREIRA CARLOS;Professor Joziel ;PSL;masculino;RJ
310;Titular;05/01/1995;dep.emanuelpinheironeto@camara.leg.br;198783;EMANUEL PINHEIRO DA SILVA PRIMO;Emanuel Pinheiro Neto ;PTB;masculino;MT
311;Titular;12/04/1981;dep.gilsonmarques@camara.leg.br;204365;GILSON MARQUES VIEIRA;Gilson Marques ;NOVO;masculino;SC
312;Titular;04/04/1972;dep.marcospereira@camara.leg.br;204506;MARCOS ANTONIO PEREIRA;Marcos Pereira ;REPUBLICANOS;masculino;SP
313;Titular;04/11/1986;dep.danieltrzeciak@camara.leg.br;204409;DANIEL TRZECIAK DUARTE;Daniel Trzeciak ;PSDB;masculino;RS
314;Titular;03/07/1980;dep.carlazambelli@camara.leg.br;204507;CARLA ZAMBELLI SALGADO;Carla Zambelli ;PSL;feminino;SP
315;Titular;10/04/1982;dep.igortimo@camara.leg.br;204508;IGOR TARCIANO TIMO;Igor Timo ;PODE;masculino;MG
316;Titular;05/02/1961;dep.flordelis@camara.leg.br;204447;FLORDELIS DOS SANTOS DE SOUZA;Flordelis ;PSD;feminino;RJ
317;Titular;20/11/1983;dep.aureacarolina@camara.leg.br;204509;ÁUREA CAROLINA DE FREITAS E SILVA;Áurea Carolina ;PSOL;feminino;MG
318;Titular;27/12/1940;dep.luizantoniocorrea@camara.leg.br;204448;LUIZ ANTONIO DA COSTA CARVALHO CORREA DA SILVA;Luiz Antônio Corrêa ;PL;masculino;RJ
319;Titular;03/11/1986;dep.francocartafina@camara.leg.br;204510;FRANCO CARTAFINA GOMES;Franco Cartafina ;PP;masculino;MG
320;Titular;14/02/1960;dep.nelsonbarbudo@camara.leg.br;204449;NELSON NED PREVIDENTE;Nelson Barbudo ;PSL;masculino;MT
321;Titular;21/12/1973;dep.davidsoares@camara.leg.br;204511;DAVID BEZERRA RIBEIRO SOARES;David Soares ;DEM;masculino;SP
322;Titular;15/12/1973;dep.dr.luizantonioteixeirajr@camara.leg.br;204450;LUIZ ANTONIO DE SOUZA TEIXEIRA JÚNIOR;Dr. Luiz Antonio Teixeira Jr. ;PP;masculino;RJ
323;Titular;06/01/1972;dep.delegadoantoniofurtado@camara.leg.br;204451;ANTÔNIO DA LUZ FURTADO;Delegado Antônio Furtado ;PSL;masculino;RJ
324;Titular;29/06/1980;dep.rodrigocoelho@camara.leg.br;204366;RODRIGO COELHO;Rodrigo Coelho ;PSB;masculino;SC
325;Titular;13/09/1980;dep.marinasantos@camara.leg.br;204432;MARINA SANTOS BATISTA DIAS;Marina Santos ;SOLIDARIEDADE;feminino;PI
326;Titular;27/02/1974;dep.marciolabre@camara.leg.br;204452;MÁRCIO DA SILVEIRA LABRE;Márcio Labre ;PSL;masculino;RJ
327;Titular;04/03/1976;dep.delegadomarcelofreitas@camara.leg.br;204512;MARCELO EDUARDO FREITAS;Delegado Marcelo Freitas ;PSL;masculino;MG
328;Titular;03/04/1982;dep.danielfreitas@camara.leg.br;204367;DANIEL COSTA DE FREITAS;Daniel Freitas ;PSL;masculino;SC
329;Titular;10/08/1981;dep.carlosveras@camara.leg.br;204426;JOSÉ CARLOS VERAS DOS SANTOS;Carlos Veras ;PT;masculino;PE
330;Titular;31/05/1988;dep.fabioschiochet@camara.leg.br;204368;FÁBIO LUIZ SCHIOCHET FILHO;Fabio Schiochet ;PSL;masculino;SC
331;Titular;13/11/1961;dep.guigapeixoto@camara.leg.br;204513;JOSÉ GUILHERME NEGRÃO PEIXOTO;Guiga Peixoto ;PSL;masculino;SP
332;Titular;17/11/1983;dep.fernandorodolfo@camara.leg.br;204427;FERNANDO RODOLFO TENORIO DE VASCONCELOS;Fernando Rodolfo ;PL;masculino;PE
333;Titular;30/09/1965;dep.coroneltadeu@camara.leg.br;204514;MARCIO TADEU ANHAIA DE LEMOS;Coronel Tadeu ;PSL;masculino;SP
334;Titular;12/04/1984;dep.mariliaarraes@camara.leg.br;204428;MARÍLIA VALENÇA ROCHA ARRAES DE ALENCAR;Marília Arraes ;PT;feminino;PE
335;Titular;15/06/1988;dep.nataliabonavides@camara.leg.br;204453;NATÁLIA BASTOS BONAVIDES;Natália Bonavides ;PT;feminino;RN
336;Titular;25/11/1982;dep.danielsilveira@camara.leg.br;204454;DANIEL LUCIO DA SILVEIRA;Daniel Silveira ;PSL;masculino;RJ
337;Titular;11/04/1996;dep.luisacanziani@camara.leg.br;204410;LUISA CANZIANI DOS SANTOS SILVEIRA;Luisa Canziani ;PTB;feminino;PR
338;Titular;29/05/1991;dep.filipebarros@camara.leg.br;204411;FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO;Filipe Barros ;PSL;masculino;PR
339;Titular;01/09/1986;dep.carolinedetoni@camara.leg.br;204369;CAROLINE RODRIGUES DE TONI;Caroline de Toni ;PSL;feminino;SC
340;Titular;05/05/1984;dep.andrejanones@camara.leg.br;204515;ANDRE LUIS GASPAR JANONES;André Janones ;AVANTE;masculino;MG
341;Titular;19/08/1967;dep.alexisfonteyne@camara.leg.br;204516;Alexis Joseph Steverlynck Fonteyne;Alexis Fonteyne ;NOVO;masculino;SP
342;Titular;31/05/1977;dep.vitorhugo@camara.leg.br;179587;VITOR HUGO DE ARAUJO ALMEIDA;Vitor Hugo ;PSL;masculino;GO
343;Titular;01/11/1984;dep.zevitor@camara.leg.br;204517;JOSE VITOR DE RESENDE AGUIAR;Zé Vitor ;PL;masculino;MG
344;Titular;24/03/1977;dep.dr.frederico@camara.leg.br;204518;FREDERICO DE CASTRO ESCALEIRA;Dr. Frederico ;PATRIOTA;masculino;MG
345;Titular;15/08/1986;dep.tiagomitraud@camara.leg.br;204519;TIAGO LIMA MITRAUD DE CASTRO LEITE;Tiago Mitraud ;NOVO;masculino;MG
346;Titular;30/06/1987;dep.junioamaral@camara.leg.br;204520;GERALDO JUNIO DO AMARAL;Junio Amaral ;PSL;masculino;MG
347;Titular;10/12/1977;dep.luizlima@camara.leg.br;204455;LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA;Luiz Lima ;PSL;masculino;RJ
348;Titular;09/09/1979;dep.gutembergreis@camara.leg.br;204456;GUTEMBERG REIS DE OLIVEIRA;Gutemberg Reis ;MDB;masculino;RJ
349;Titular;23/10/1976;dep.juninhodopneu@camara.leg.br;204457;ROGERIO TEIXEIRA JUNIOR;Juninho do Pneu ;DEM;masculino;RJ
350;Titular;09/01/1980;dep.majorfabiana@camara.leg.br;204458;FABIANA SILVA DE SOUZA POUBEL;Major Fabiana ;PSL;feminino;RJ
351;Titular;10/02/1976;dep.danieladowaguinho@camara.leg.br;204459;DANIELA MOTE DE SOUZA CARNEIRO;Daniela do Waguinho ;MDB;feminino;RJ
352;Titular;06/11/1966;dep.abouanni@camara.leg.br;204521;PAULO SERGIO ABOU ANNI;Abou Anni ;PSL;masculino;SP
353;Titular;30/04/1968;dep.marcobertaiolli@camara.leg.br;204522;MARCO AURELIO BERTAIOLLI;Marco Bertaiolli ;PSD;masculino;SP
354;Titular;21/12/1988;dep.lucasgonzalez@camara.leg.br;204523;LUCAS DE VASCONCELOS GONZALEZ;Lucas Gonzalez ;NOVO;masculino;MG
355;Titular;08/02/1982;dep.carlosjordy@camara.leg.br;204460;Carlos Roberto Coelho de Mattos Júnior;Carlos Jordy ;PSL;masculino;RJ
356;Titular;19/04/1983;dep.pauloganime@camara.leg.br;204461;PAULO GUSTAVO GANIME ALVES TEIXEIRA;Paulo Ganime ;NOVO;masculino;RJ
357;Titular;26/11/1993;dep.joaohcampos@camara.leg.br;204429;JOÃO HENRIQUE DE ANDRADE LIMA CAMPOS;João H. Campos ;PSB;masculino;PE
358;Titular;14/05/1991;dep.christonietto@camara.leg.br;204462;CHRISTINE NOGUEIRA DOS REIS TONIETTO;Chris Tonietto ;PSL;feminino;RJ
359;Titular;30/05/1991;dep.pinheirinho@camara.leg.br;204524;ANTÔNIO PINHEIRO NETO;Pinheirinho ;PP;masculino;MG
360;Titular;08/05/1969;dep.rosanavalle@camara.leg.br;204525;ROSANA DE OLIVEIRA VALLE;Rosana Valle ;PSB;feminino;SP
